k_s_per_km,kPk_pi_0,kPk_pi_1,kPk_pi_2,kPk_pi_n1,kPk_pi_n2
1.019007e-01,7.714354e-10,1.055995e-09,8.344168e-10,9.951264e-10,7.906256e-10
1.023437e-01,7.543051e-10,1.037604e-09,8.102668e-10,9.823474e-10,7.743047e-10
1.027868e-01,7.363640e-10,1.011597e-09,7.627167e-10,9.661547e-10,7.755802e-10
1.032298e-01,7.147323e-10,9.905891e-10,7.203877e-10,9.498744e-10,7.698623e-10
1.036729e-01,6.906761e-10,9.658842e-10,6.727749e-10,9.282330e-10,7.585709e-10
1.041159e-01,6.643356e-10,9.371301e-10,6.305416e-10,8.936632e-10,7.562154e-10
1.045589e-01,6.368902e-10,8.986844e-10,5.947963e-10,8.496748e-10,7.435225e-10
1.050020e-01,6.100562e-10,8.528802e-10,5.761109e-10,8.026335e-10,7.246405e-10
1.054450e-01,5.850704e-10,8.230643e-10,5.736734e-10,7.589947e-10,6.938875e-10
1.058881e-01,5.608789e-10,7.824163e-10,5.789220e-10,7.148191e-10,6.621126e-10
1.063311e-01,5.389689e-10,7.440713e-10,5.945647e-10,6.715527e-10,6.168383e-10
1.067742e-01,5.187061e-10,7.152678e-10,5.997175e-10,6.415943e-10,5.718768e-10
1.072172e-01,5.003249e-10,6.851238e-10,5.939548e-10,6.241444e-10,5.272968e-10
1.076603e-01,4.851116e-10,6.676421e-10,5.768403e-10,6.106584e-10,4.940233e-10
1.081033e-01,4.713857e-10,6.470591e-10,5.473086e-10,5.975457e-10,4.707291e-10
1.085464e-01,4.604191e-10,6.310777e-10,5.098162e-10,5.888777e-10,4.434751e-10
1.089894e-01,4.488687e-10,6.215991e-10,4.740585e-10,5.831613e-10,4.328342e-10
1.094325e-01,4.390240e-10,6.092516e-10,4.488924e-10,5.664201e-10,4.250527e-10
1.098755e-01,4.267657e-10,6.018394e-10,4.253775e-10,5.548764e-10,4.153979e-10
1.103186e-01,4.145575e-10,5.941381e-10,4.131521e-10,5.391318e-10,4.061680e-10
1.107616e-01,4.000683e-10,5.816778e-10,4.077271e-10,5.274258e-10,3.963706e-10
1.112046e-01,3.865144e-10,5.684478e-10,4.042376e-10,5.081254e-10,3.936332e-10
1.116477e-01,3.712249e-10,5.538821e-10,3.967462e-10,4.904717e-10,3.912835e-10
1.120907e-01,3.572193e-10,5.362651e-10,3.810126e-10,4.787397e-10,3.912273e-10
1.125338e-01,3.421891e-10,5.111366e-10,3.645457e-10,4.597501e-10,3.910752e-10
1.129768e-01,3.287260e-10,4.872413e-10,3.461191e-10,4.432440e-10,3.943319e-10
1.134199e-01,3.151496e-10,4.652274e-10,3.313241e-10,4.287056e-10,3.878741e-10
1.138629e-01,3.036233e-10,4.426905e-10,3.225911e-10,4.124774e-10,3.747449e-10
1.143060e-01,2.928795e-10,4.188639e-10,3.200902e-10,3.941849e-10,3.621310e-10
1.147490e-01,2.842174e-10,4.004635e-10,3.197527e-10,3.770567e-10,3.417222e-10
1.151921e-01,2.765295e-10,3.838169e-10,3.193772e-10,3.575912e-10,3.226253e-10
1.156351e-01,2.698910e-10,3.703151e-10,3.165296e-10,3.416064e-10,3.058454e-10
1.160782e-01,2.637144e-10,3.619671e-10,3.091500e-10,3.285036e-10,2.915931e-10
1.165212e-01,2.571589e-10,3.585935e-10,2.958321e-10,3.202417e-10,2.818135e-10
1.169642e-01,2.510569e-10,3.516673e-10,2.775503e-10,3.115919e-10,2.708473e-10
1.174073e-01,2.440190e-10,3.488764e-10,2.613568e-10,3.055488e-10,2.582440e-10
1.178503e-01,2.372972e-10,3.468341e-10,2.450879e-10,3.038256e-10,2.472204e-10
1.182934e-01,2.296320e-10,3.445715e-10,2.335559e-10,2.991687e-10,2.328897e-10
1.187364e-01,2.225011e-10,3.410573e-10,2.287059e-10,2.957508e-10,2.208683e-10
1.191795e-01,2.140916e-10,3.319841e-10,2.246171e-10,2.865033e-10,2.120550e-10
1.196225e-01,2.066252e-10,3.231612e-10,2.222364e-10,2.785984e-10,2.051651e-10
1.200656e-01,1.983486e-10,3.102988e-10,2.183579e-10,2.698666e-10,2.028918e-10
1.205086e-01,1.915153e-10,2.954604e-10,2.117606e-10,2.587610e-10,2.031325e-10
1.209517e-01,1.843903e-10,2.806728e-10,2.024242e-10,2.453604e-10,2.040181e-10
1.213947e-01,1.788514e-10,2.639777e-10,1.935457e-10,2.345800e-10,2.026873e-10
1.218378e-01,1.731319e-10,2.491436e-10,1.844996e-10,2.268990e-10,2.011382e-10
1.222808e-01,1.685107e-10,2.373490e-10,1.791630e-10,2.170388e-10,1.957895e-10
1.227238e-01,1.635493e-10,2.287251e-10,1.772530e-10,2.089201e-10,1.900994e-10
1.231669e-01,1.591492e-10,2.198662e-10,1.772026e-10,2.040629e-10,1.856809e-10
1.236099e-01,1.544648e-10,2.152846e-10,1.792324e-10,2.007186e-10,1.818080e-10
1.240530e-01,1.499611e-10,2.109098e-10,1.788465e-10,1.968101e-10,1.794133e-10
1.244960e-01,1.453264e-10,2.083383e-10,1.761040e-10,1.935907e-10,1.757738e-10
1.249391e-01,1.405678e-10,2.090346e-10,1.682718e-10,1.900505e-10,1.730979e-10
1.253821e-01,1.357849e-10,2.080008e-10,1.584317e-10,1.848864e-10,1.670895e-10
