k_s_per_km,kPk_pi_p1_n2,kPk_pi_p2_n2,kPk_pi_p7_n2,kPk_pi_p8_n2,kPk_pi_p9_n2
3.327859e+00,2.288106e-17,1.412521e-10,3.296802e-11,3.662334e-11,4.081735e-11
3.328342e+00,2.281430e-17,1.421857e-10,3.285060e-11,3.563616e-11,4.073293e-11
3.328825e+00,2.282301e-17,1.432294e-10,3.259906e-11,3.472510e-11,4.076911e-11
3.329308e+00,2.336409e-17,1.443466e-10,3.221495e-11,3.394133e-11,4.091346e-11
3.329791e+00,2.278908e-17,1.454513e-10,3.170457e-11,3.331961e-11,4.115016e-11
3.330274e+00,2.287518e-17,1.464883e-10,3.107736e-11,3.287975e-11,4.146065e-11
3.330757e+00,2.232822e-17,1.474541e-10,3.034646e-11,3.263237e-11,4.182518e-11
3.331240e+00,2.257481e-17,1.483600e-10,2.952762e-11,3.257874e-11,4.222404e-11
3.331723e+00,2.329805e-17,1.491755e-10,2.863842e-11,3.270838e-11,4.263841e-11
3.332206e+00,2.285741e-17,1.498239e-10,2.770152e-11,3.297989e-11,4.305088e-11
3.332689e+00,2.276362e-17,1.502736e-10,2.674379e-11,3.330968e-11,4.344922e-11
3.333172e+00,2.301379e-17,1.505752e-10,2.579022e-11,3.359339e-11,4.382533e-11
3.333655e+00,2.309176e-17,1.508350e-10,2.486685e-11,3.370982e-11,4.417335e-11
3.334138e+00,2.315569e-17,1.511134e-10,2.399959e-11,3.354397e-11,4.448983e-11
3.334621e+00,2.256045e-17,1.513591e-10,2.321312e-11,3.301443e-11,4.477346e-11
3.335104e+00,2.278698e-17,1.514537e-10,2.253017e-11,3.209939e-11,4.502373e-11
3.335587e+00,2.261546e-17,1.513168e-10,2.196996e-11,3.085507e-11,4.524055e-11
3.336070e+00,2.276568e-17,1.509559e-10,2.154735e-11,2.941779e-11,4.542519e-11
3.336553e+00,2.273787e-17,1.504172e-10,2.127236e-11,2.798642e-11,4.558063e-11
3.337036e+00,2.306303e-17,1.497185e-10,2.115255e-11,2.679727e-11,4.571076e-11
3.337519e+00,2.241652e-17,1.488430e-10,2.119067e-11,2.608605e-11,4.582188e-11
3.338002e+00,2.278359e-17,1.477836e-10,2.137028e-11,2.595865e-11,4.592430e-11
3.338485e+00,2.269748e-17,1.465191e-10,2.167865e-11,2.642285e-11,4.602776e-11
3.338968e+00,2.289184e-17,1.450243e-10,2.210067e-11,2.736598e-11,4.614296e-11
3.339451e+00,2.299616e-17,1.433601e-10,2.261796e-11,2.856391e-11,4.628004e-11
3.339934e+00,2.280683e-17,1.417170e-10,2.321185e-11,2.972445e-11,4.644827e-11
3.340417e+00,2.299789e-17,1.402994e-10,2.386416e-11,3.054380e-11,4.665640e-11
3.340900e+00,2.320711e-17,1.391234e-10,2.455890e-11,3.076886e-11,4.691132e-11
3.341383e+00,2.306808e-17,1.380209e-10,2.528203e-11,3.025082e-11,4.721891e-11
3.341866e+00,2.316867e-17,1.369214e-10,2.602152e-11,2.897859e-11,4.758569e-11
3.342349e+00,2.313326e-17,1.360694e-10,2.676806e-11,2.707837e-11,4.801830e-11
3.342832e+00,2.276432e-17,1.358399e-10,2.751382e-11,2.480456e-11,4.852632e-11
3.343315e+00,2.283380e-17,1.361593e-10,2.825311e-11,2.250825e-11,4.911088e-11
3.343798e+00,2.253829e-17,1.366218e-10,2.898070e-11,2.048593e-11,4.977654e-11
3.344281e+00,2.305889e-17,1.369157e-10,2.969141e-11,1.895680e-11,5.052700e-11
