k_s_per_km,kPk_pi_p1_0,kPk_pi_p1_1,kPk_pi_p1_2,kPk_pi_p1_n1,kPk_pi_p1_n2
4.011653e-01,3.002532e+02,2.890630e-01,1.826871e+01,1.252033e+00,2.496082e+05
4.028944e-01,3.069020e+02,2.810167e-01,1.838907e+01,1.229903e+00,2.537993e+05
4.046236e-01,2.983888e+02,2.747091e-01,1.829181e+01,1.202800e+00,2.580704e+05
4.063528e-01,3.084515e+02,2.674719e-01,1.845822e+01,1.187756e+00,2.624462e+05
4.080819e-01,3.081228e+02,2.605798e-01,1.828891e+01,1.161332e+00,2.669411e+05
4.098111e-01,3.091869e+02,2.555896e-01,1.858392e+01,1.156847e+00,2.714836e+05
4.115402e-01,3.079097e+02,2.462202e-01,1.866554e+01,1.127050e+00,2.761731e+05
4.132694e-01,3.039989e+02,2.391537e-01,1.881911e+01,1.097753e+00,2.808989e+05
4.149986e-01,3.050046e+02,2.331683e-01,1.933201e+01,1.079602e+00,2.857164e+05
4.167277e-01,2.910804e+02,2.253878e-01,1.908829e+01,1.055292e+00,2.905929e+05
4.184569e-01,3.029091e+02,2.166867e-01,1.891868e+01,1.024748e+00,2.955157e+05
4.201860e-01,2.942420e+02,2.139913e-01,1.928516e+01,1.000288e+00,3.005087e+05
4.219152e-01,2.927358e+02,2.062062e-01,1.887904e+01,9.711859e-01,3.055224e+05
4.236444e-01,2.929936e+02,1.990871e-01,1.918652e+01,9.457389e-01,3.105883e+05
4.253735e-01,2.946718e+02,1.925258e-01,1.969060e+01,9.332487e-01,3.156685e+05
4.271027e-01,2.931338e+02,1.875585e-01,1.913473e+01,9.139714e-01,3.207700e+05
4.288319e-01,2.925101e+02,1.837583e-01,1.934063e+01,8.893508e-01,3.258791e+05
4.305610e-01,2.951741e+02,1.797656e-01,1.964989e+01,8.629958e-01,3.309913e+05
4.322902e-01,2.945164e+02,1.753861e-01,1.965872e+01,8.345024e-01,3.360900e+05
4.340193e-01,2.905027e+02,1.671103e-01,1.952878e+01,8.067911e-01,3.411778e+05
4.357485e-01,2.846173e+02,1.653979e-01,1.945534e+01,7.866672e-01,3.462368e+05
4.374777e-01,2.836169e+02,1.617390e-01,1.951521e+01,7.535058e-01,3.512604e+05
4.392068e-01,2.787467e+02,1.570847e-01,1.950172e+01,7.398217e-01,3.562537e+05
