k_s_per_km,kPk_pi_p1_0,kPk_pi_p2_0,kPk_pi_p7_0,kPk_pi_p8_0,kPk_pi_p9_0
1.134199e-01,3.151496e-10,3.151496e-10,3.151496e-10,3.151496e-10,3.151496e-10
1.138629e-01,3.036233e-10,3.036233e-10,3.036233e-10,3.036233e-10,3.036233e-10
1.143060e-01,2.928795e-10,2.928795e-10,2.928795e-10,2.928795e-10,2.928795e-10
1.147490e-01,2.842174e-10,2.842174e-10,2.842174e-10,2.842174e-10,2.842174e-10
1.151921e-01,2.765295e-10,2.765295e-10,2.765295e-10,2.765295e-10,2.765295e-10
1.156351e-01,2.698910e-10,2.698910e-10,2.698910e-10,2.698910e-10,2.698910e-10
1.160782e-01,2.637144e-10,2.637144e-10,2.637144e-10,2.637144e-10,2.637144e-10
1.165212e-01,2.571589e-10,2.571589e-10,2.571589e-10,2.571589e-10,2.571589e-10
1.169642e-01,2.510569e-10,2.510569e-10,2.510569e-10,2.510569e-10,2.510569e-10
1.174073e-01,2.440190e-10,2.440190e-10,2.440190e-10,2.440190e-10,2.440190e-10
1.178503e-01,2.372972e-10,2.372972e-10,2.372972e-10,2.372972e-10,2.372972e-10
1.182934e-01,2.296320e-10,2.296320e-10,2.296320e-10,2.296320e-10,2.296320e-10
1.187364e-01,2.225011e-10,2.225011e-10,2.225011e-10,2.225011e-10,2.225011e-10
1.191795e-01,2.140916e-10,2.140916e-10,2.140916e-10,2.140916e-10,2.140916e-10
1.196225e-01,2.066252e-10,2.066252e-10,2.066252e-10,2.066252e-10,2.066252e-10
1.200656e-01,1.983486e-10,1.983486e-10,1.983486e-10,1.983486e-10,1.983486e-10
1.205086e-01,1.915153e-10,1.915153e-10,1.915153e-10,1.915153e-10,1.915153e-10
1.209517e-01,1.843903e-10,1.843903e-10,1.843903e-10,1.843903e-10,1.843903e-10
1.213947e-01,1.788514e-10,1.788514e-10,1.788514e-10,1.788514e-10,1.788514e-10
1.218378e-01,1.731319e-10,1.731319e-10,1.731319e-10,1.731319e-10,1.731319e-10
1.222808e-01,1.685107e-10,1.685107e-10,1.685107e-10,1.685107e-10,1.685107e-10
1.227238e-01,1.635493e-10,1.635493e-10,1.635493e-10,1.635493e-10,1.635493e-10
1.231669e-01,1.591492e-10,1.591492e-10,1.591492e-10,1.591492e-10,1.591492e-10
1.236099e-01,1.544648e-10,1.544648e-10,1.544648e-10,1.544648e-10,1.544648e-10
1.240530e-01,1.499611e-10,1.499611e-10,1.499611e-10,1.499611e-10,1.499611e-10
1.244960e-01,1.453264e-10,1.453264e-10,1.453264e-10,1.453264e-10,1.453264e-10
1.249391e-01,1.405678e-10,1.405678e-10,1.405678e-10,1.405678e-10,1.405678e-10
